sample,site,matched,pacbio,excluded,failed_qc,run,barcode
mada_1-10,madagascar,1,0,0,0,madagascar_tb_mdr_5,5
mada_149,madagascar,0,0,1,1,madagscar_tb_aug_4,7
mada_1-3,madagascar,1,0,0,0,md_tb_reseq_2019_3,5
mada_1-8,madagascar,1,0,0,0,md_tb_reseq_2019_4,9
mada_1-15,madagascar,1,0,0,0,madagscar_tb_aug_4,8
mada_105,madagascar,1,0,0,0,madagascar_tb_controls_4,6
mada_108,madagascar,0,0,1,1,madagscar_tb_aug_3,3
mada_125,madagascar,1,1,0,0,madagscar_tb_aug_1,4
mada_144,madagascar,1,0,0,0,md_tb_reseq_2019_2,11
mada_1-21,madagascar,1,0,0,1,madagascar_tb_mdr_3,3
mada_1-14,madagascar,1,0,0,0,madagascar_tb_mdr_6,5
mada_141,madagascar,1,0,0,0,md_tb_reseq_2019_2,9
mada_103,madagascar,1,0,0,0,madagascar_tb_mdr_control_7,3
mada_1-9,madagascar,1,0,0,1,madagscar_tb_aug_2,7
mada_115,madagascar,1,0,0,0,madagascar_tb_controls_4,8
mada_137,madagascar,1,0,0,0,md_tb_reseq_2019_2,8
mada_1-17,madagascar,1,0,0,0,md_tb_reseq_2019_5,4
mada_1-13,madagascar,1,0,0,0,md_tb_reseq_2019_5,5
mada_1-45,madagascar,0,0,1,1,madagscar_tb_aug_5,3
mada_1-20,madagascar,1,0,0,0,madagascar_tb_mdr_3,5
mada_142,madagascar,1,0,0,0,md_tb_reseq_2019_1,3
mada_148,madagascar,1,0,0,0,md_tb_reseq_2019_2,12
mada_1-54,madagascar,1,0,0,0,madagascar_tb_mdr_4,4
mada_106,madagascar,1,0,0,0,madagscar_tb_aug_5,1
mada_1-32,madagascar,1,0,0,0,madagascar_tb_mdr_1,6
mada_2-53,madagascar,1,0,0,0,madagascar_tb_mdr_4,5
mada_152,madagascar,1,0,0,0,md_tb_reseq_2019_3,2
mada_1-49,madagascar,1,0,0,1,madagascar_tb_mdr_6,10
R26791,south_africa,1,0,0,0,FAK48818,23
R28538,south_africa,1,0,0,1,FAK48888,9
R13303,south_africa,0,0,1,0,FAK48913,13
R20412,south_africa,1,0,0,1,FAK49586,6
R23880,south_africa,0,0,1,1,,
R21363,south_africa,1,0,0,0,FAK48888,2
R30234,south_africa,1,0,0,0,FAK48914,6
R21046,south_africa,1,0,0,1,FAK48888,1
R36431,south_africa,1,0,0,0,FAK48856,4
R27252,south_africa,1,0,0,0,FAK48818,22
R29816,south_africa,1,0,0,0,FAK48856,8
R30042,south_africa,0,0,1,1,,
R27273,south_africa,1,0,0,1,FAK46355,7
R23594,south_africa,0,0,1,1,,
R21911,south_africa,1,0,0,1,FAK46355,8
R22727,south_africa,1,0,0,1,FAK49586,8
R29598,south_africa,1,0,0,0,FAK49586,11
R24409,south_africa,1,0,0,1,FAK49586,9
R26792,south_africa,1,0,0,1,FAK49586,4
R30078,south_africa,1,0,0,0,FAK48914,3
R24100,south_africa,1,0,0,0,FAK48818,19
R16657,south_africa,1,0,0,1,FAK49586,1
R22246,south_africa,0,0,1,1,,
R28195,south_africa,1,0,0,1,FAK49586,3
R36134,south_africa,0,0,1,1,,
R31095,south_africa,1,0,0,0,FAK48888,5
R18043,south_africa,1,0,0,0,FAK49586,10
R18040,south_africa,1,0,0,0,FAK48856,7
R25564,south_africa,0,0,1,1,,
R30021,south_africa,0,0,1,1,,
R23013,south_africa,0,0,1,1,,
R27937,south_africa,1,0,0,0,FAK48856,10
R29577,south_africa,0,0,1,1,,
R24644,south_africa,1,0,0,1,FAK46355,3
